Term,Year,Students,Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Course Title,Primary Instructor,GPA
Spring,2022,29,AAS,100,6,13,0,0,4,1,0,3,0,1,1,0,0,0,Intro Asian American Studies,"Lee, Sang S",3.413793103448276
Spring,2022,25,AAS,100,0,11,5,3,1,2,1,0,1,1,0,0,0,0,Intro Asian American Studies,"Zheng, Reanne",3.4404000000000003
Spring,2022,27,AAS,100,0,10,7,4,3,1,0,0,0,0,0,0,2,0,Intro Asian American Studies,"Zheng, Reanne",3.3585185185185185
Spring,2022,28,AAS,100,17,8,1,1,1,0,0,0,0,0,0,0,0,0,Intro Asian American Studies,"Rosado-Torres, Alexander",3.9285714285714284
Spring,2022,22,AAS,100,0,8,4,1,1,2,1,0,0,0,0,1,3,1,Intro Asian American Studies,"Wang, Yu",2.9214285714285713
Spring,2022,22,AAS,100,0,11,2,1,3,3,0,0,0,0,1,0,1,0,Intro Asian American Studies,"Wang, Yu",3.303636363636364
Spring,2022,26,AAS,100,1,10,5,4,1,1,3,0,1,0,0,0,0,0,Intro Asian American Studies,"Gonzalez, Daniel A",3.4615384615384617
Spring,2022,27,AAS,100,0,10,6,4,3,2,1,0,1,0,0,0,0,0,Intro Asian American Studies,"Atienza, Paul Michael L",3.46962962962963
Spring,2022,25,AAS,100,0,15,5,1,1,0,2,0,1,0,0,0,0,0,Intro Asian American Studies,"Atienza, Paul Michael L",3.6403999999999996
Spring,2022,32,AAS,215,7,12,6,5,0,0,1,0,0,1,0,0,0,0,US Citizenship Comparatively,"Park, Doo Jae",3.6978124999999995
Spring,2022,138,ABE,152,91,15,3,7,5,2,4,3,0,0,1,0,7,0,Water in Global Environment,"Kalita, Prasanta K",3.5868115942028984
Spring,2022,24,ABE,225,2,8,3,5,3,0,0,1,0,0,0,0,2,0,ABE Principles: Bioenvironment,"Zhang, Yuanhui",3.2775
Spring,2022,24,ABE,226,1,5,4,4,3,4,0,1,0,0,0,0,2,0,ABE Principles: Bioprocessing,"Singh, Vijay",3.0700000000000003
Spring,2022,39,ABE,469,4,15,7,5,7,1,0,0,0,0,0,0,0,0,Industry-Linked Design Project,"Witmer, Ann-Perry",3.641282051282051
Spring,2022,28,ABE,498,5,12,3,3,2,0,0,0,0,0,2,0,1,0,Special Topics,"Wang, Xinlei",3.4642857142857144
